, 544
0, 1
1, 16
10, 11
100, 2
1000, 1
10000, 1
100000, 2
1004, 1
1006, 1
101, 1
103, 2
104, 1
105, 1
1056, 1
109, 1
10th, 3
11, 5
110, 2
111, 1
1114, 1
112, 1
113, 1
1132, 1
1149, 1
116, 3
117, 1
119, 1
11th, 4
12, 10
120, 2
1201, 1
121, 2
1213, 1
122, 1
1242, 1
1264, 1
1268, 2
127, 1
128, 2
12th, 6
13, 3
133, 1
1331, 1
137, 1
138, 1
1390, 1
1394, 1
14, 6
140, 1
1413, 1
1439, 1
145, 2
146, 1
1493, 1
15, 9
1500, 2
155, 1
156, 1
157, 1
159, 1
15th, 4
16, 2
160, 1
1603, 1
1636, 2
165, 1
1656, 2
166, 1
1663, 1
1664, 6
1665, 7
16th, 1
17, 9
1700, 1
174, 1
175, 1
1761, 2
17800, 1
17th, 2
18, 2
1800, 1
183, 1
1843, 2
1889, 1
189, 1
18th, 5
19, 8
190, 1
193, 1
196, 1
197, 1
1995, 1
19th, 6
1a, 1
1b, 1
1c, 2
1d, 1
1e, 2
1e1, 5
1e2, 1
1e3, 1
1e4, 1
1e5, 1
1e6, 1
1e7, 3
1e8, 4
1e9, 3
1f, 1
1f1, 1
1f2, 1
1f3, 5
1f4, 1
1f5, 1
1f6, 1
1st, 9
2, 17
20, 3
200, 4
2000, 1
20000, 3
200000, 1
2001, 1
2020, 1
20477, 1
205, 1
20th, 3
21, 5
213, 1
214, 1
22, 6
228, 2
22nd, 7
23, 5
231, 1
23rd, 1
24, 10
240, 1
242, 1
24th, 1
25, 2
250, 1
25th, 5
26, 6
2665, 1
268, 1
26th, 5
27, 3
273, 1
277, 1
2785, 1
27th, 2
28, 4
29, 6
291, 3
295, 1
29th, 4
3, 19
30, 3
300, 2
3000, 3
30000, 1
309, 1
30th, 1
31, 5
314, 1
32, 1
328, 1
33, 1
332, 1
34, 1
342, 1
343, 1
346, 1
347, 1
348, 1
349, 1
353, 1
36, 2
364, 1
372, 1
376, 1
376hhtm, 1
376hzip, 1
38, 1
38195, 1
383, 1
385, 1
388, 1
3880, 1
39, 1
394, 1
3rd, 3
4, 13
40, 1
400, 4
4000, 1
40000, 2
4030, 1
415, 1
42, 3
421, 2
4237, 1
432, 1
4327, 1
4382, 1
45, 3
456, 1
458, 1
474, 1
48, 3
481, 1
49, 1
4927, 1
496, 1
49705, 1
4979, 1
4th, 2
5, 14
50, 1
5000, 2
50000, 4
500000, 1
501c3, 1
5068, 1
5319, 2
532, 1
5361, 1
550, 1
5533, 1
554, 2
5568, 1
5720, 2
58, 3
580, 1
59, 1
5961887, 1
59870, 1
5th, 4
6, 7
60, 1
600, 2
60000, 1
602, 1
6060, 1
61, 2
610, 1
6102, 1
616, 1
617, 1
623, 2
625, 1
64, 1
6460, 3
646221541, 1
647, 1
65, 3
6544, 1
663, 1
674, 1
68, 1
68590, 2
6988, 1
699, 1
6th, 1
7, 10
70, 1
71, 2
716, 1
7165, 1
727, 1
74, 1
743, 1
7496, 2
750175, 1
76, 2
7690, 2
77, 1
780, 2
79, 1
8, 11
80, 1
801, 1
809, 1
82, 1
8252, 2
8297, 3
84, 1
84116, 1
847, 1
85, 2
850, 1
87, 1
886, 2
8th, 3
9, 7
90, 4
905, 1
92, 1
927, 1
942, 1
95, 1
97, 1
99, 1
99775, 1
9th, 3
a, 1411
aaron, 2
ab, 1
abandon, 5
abandoned, 5
abandoning, 1
abate, 8
abated, 21
abatement, 2
abating, 1
abbey, 2
abbot, 1
abhorred, 1
abide, 4
ability, 1
able, 43
abode, 2
abominable, 2
abortive, 4
about, 168
above, 83
abovenamed, 2
abr, 1
abra, 1
abrac, 1
abraca, 1
abracad, 1
abracada, 1
abracadab, 1
abracadabr, 1
abracadabra, 2
abroad, 47
absent, 3
absolute, 1
absolutely, 4
